Uniprot	02w33	02w01	02w26	02w17	02w41	02w09	10w25	10w33	10w09	10w41	10w17	10w03	02w18	10w11	02w02	10w04	02w28	10w18	10w34	02w42	10w42	10w28	02w34	02w10	02w20	10w05	10w13	02w27	10w19	02w11	10w35	10w26	10w43	02w43	02w03	02w35	02w29	10w06	10w36	02w44	02w21	10w22	02w12	10w44	10w27	02w04	02w36	10w15	02w37	10w30	02w13	02w31	10w45	10w37	02w05	10w14	10w23	02w45	02w23	10w07
P08113	1754.693726	1602.55835	1737.598145	1528.772949	3180.856934	1612.278687	848.1456909	703.8809204	887.8276367	1073.825928	1576.647095	1658.398926	1474.653076	891.2016602	1511.818481	1509.36792	1050.168213	1252.750244	850.5709839	2141.782715	915.3759766	888.1280518	2057.60498	1773.993164	1554.888916	1306.091064	1001.174561	1913.092285	1148.270386	1693.338867	671.2119141	1206.846924	1028.896729	1851.550415	1787.470581	1639.30249	1868.377441	999.8864136	794.9164429	2336.629395	2023.223145	1186.87085	1205.372559	1224.039429	720.625	1253.755127	1386.141479	970.9606934	2260.861328	926.6282959	1768.842773	1531.27832	1285.883301	665.5474854	2238.313477	1054.105713	1162.656738	2974.029785	1530.961426	1431.207642
P08226	151.0579529	187.455307	187.6135406	152.6820679	265.6028137	182.7247162	120.1298294	117.81707	120.8097076	139.0910492	168.0460968	122.2446671	174.2737732	117.4352188	126.8314056	126.9678345	101.4156494	138.6136932	94.56967926	190.6956482	119.7721863	122.3609619	194.4534607	149.5198517	121.3764648	130.2875214	114.1028214	169.2773743	150.2816315	153.0618896	100.7263794	149.7706604	134.2851715	156.7907562	152.7097626	136.125351	224.1204987	135.8074493	100.5680771	165.3465576	191.4239044	85.29160309	104.4533539	103.126297	115.3091354	93.94473267	100.2203293	103.6718826	231.9665985	117.3372726	164.855484	179.3115845	144.0547791	113.5087662	231.2089691	112.6024475	107.2230377	264.8344727	134.8208008	143.4231415
P08228	673.232666	721.2419434	815.6060791	741.4919434	604.987793	779.5071411	511.0097046	558.3677368	679.1671753	930.7828369	990.2297363	600.9089355	628.5935669	593.5161743	722.2962036	471.6166687	502.9456177	732.8017578	457.1358643	748.7734985	797.7866821	534.1845703	701.3054199	690.9919434	538.027832	514.7716675	523.0439453	479.7257385	639.4202271	533.1560059	507.4415283	458.2670898	851.0151367	488.0524902	547.3851318	517.4577026	567.0396118	507.0671082	501.5827026	551.3927002	639.9436035	838.3179932	589.5844116	775.6380615	506.9486084	694.1329346	546.2732544	526.8167725	639.6400146	479.2816162	620.5758667	528.0899048	668.7331543	462.7750854	560.0939941	506.1334229	795.3820801	643.7980957	565.7075806	629.3323364
P08249	8303.240234	7948.76709	8492.387695	9844.447266	8301.147461	9113.412109	9315.697266	10575.73047	9789.788086	9194.177734	10216.2168	8465.114258	7956.592773	9380.726563	9346.205078	8456.488281	8768.160156	9099.982422	8993.265625	8595.342773	9572.432617	8268.251953	8376.40918	9457.777344	9466.766602	8604.283203	10723.89258	8605.339844	9030.466797	8724.259766	9573.632813	9322.417969	9786.59082	9494.40625	8967.091797	9188.963867	7892.760742	9743.908203	9294.676758	8018.4375	8593.969727	10671.93848	10050.58203	9500.186523	9489.661133	9340.295898	9064.832031	9932.006836	8084.364746	8794.675781	8084.486328	7945.721191	8657.949219	8975.46582	8838.013672	9659.845703	8752.918945	7952.564453	8987.756836	9235.130859
P09103	2389.073242	2064.400146	2269.428467	2138.627441	4241.09082	2340.616943	1466.66333	1414.149902	1653.778931	1495.711182	2547.013428	2193.052734	1970.640625	1684.705811	1950.096191	2248.912354	1417.799438	1853.483765	1408.314209	2412.935791	1783.325928	1334.490723	2991.460205	2086.922119	1874.313965	1571.210938	1467.076538	2031.183716	1803.147705	2450.618408	1486.786865	1575.499756	1456.061157	2385.494629	2213.158936	2262.095459	2383.103027	1575.912842	1647.880127	3099.405273	2576.993408	1814.778076	1766.810547	1929.795044	957.9281006	1206.434082	1927.106934	1640.940063	2410.541016	1219.925415	2006.987915	1706.435547	2001.310303	1208.146851	2833.774658	1328.810547	1715.429688	4129.605469	1721.319092	2035.907104
P09671	2063.229736	1992.880615	1905.318359	2135.202637	1858.21228	1897.174927	2074.316406	2130.128174	1932.484863	1981.045898	1767.032593	2249.018311	1741.941162	1533.127197	1363.391479	1486.575806	1321.936035	1467.765869	1807.257813	1503.802002	1653.791138	1494.145752	1305.676758	1534.845947	1393.962891	1581.175049	1516.383057	1374.053955	1402.241699	1359.610596	1556.831177	1406.32666	1393.983154	1310.567627	1323.668823	1175.168701	1466.918701	1867.995728	1881.578613	1529.478882	1602.032715	1700.348633	1788.633057	1737.001221	1789.443481	1651.904663	1620.509644	1710.000854	1211.560181	1285.308228	1183.99585	1240.061768	1405.909424	1367.333984	1067.485718	1194.509277	1259.294189	1309.038208	1248.189453	1388.898071
P0CG49;P0CG50;P62983;P62984;RS27A_HUMAN	245.3831329	225.0306549	282.1631165	186.7368011	295.8710022	261.1253052	121.880188	130.9955597	161.9452362	238.9271393	210.2387085	188.9007568	238.7047119	176.2576294	114.7605515	124.6287537	166.641922	161.9582825	162.5655212	254.9336548	190.2692108	138.2891846	286.1607361	104.5936661	144.2616577	106.0448151	128.2956696	154.1638489	131.9160614	152.272049	119.5577774	134.6077881	131.1686249	165.0550842	282.4025269	152.9530792	159.8890533	183.9141388	101.6516418	269.5872803	203.3319855	86.73579407	196.5317383	207.9041443	143.9286346	175.8074341	163.2157593	145.5291901	229.9724274	138.497757	190.1912842	183.1427307	59.02560043	70.61164093	226.1536865	129.9294891	52.45026779	229.89328	170.7884369	162.7413483
P10126	1735.38916	1549.334839	1723.424561	1283.197266	2331.7854	1860.484863	988.3406982	734.883606	1245.706909	993.3724365	1076.625	1494.073364	1436.377441	1205.061035	1571.676636	1722.35083	1563.290161	1205.389648	984.1790771	1701.567383	864.0369873	1224.835938	2527.941162	1739.796631	1611.38208	1346.610718	1100.259155	1850.742798	1285.65564	2038.454834	658.8806152	1336.27124	832.0653687	1953.25708	2118.017334	2180.752441	1953.738403	1042.586792	748.1496582	2011.523193	2153.662354	862.7224731	1505.743774	1070.786011	865.7372437	1203.165405	1470.165039	1340.418213	2309.178223	1292.962402	1871.924927	1601.387939	906.8817749	797.927002	2233.028564	1311.504883	1282.199097	2297.345703	1600.962769	1317.708862
P10605	410.8407593	608.5530396	495.0369873	425.4376831	395.2338257	491.3345947	243.8706818	418.9825134	337.0042419	275.6818542	767.1586914	340.0732422	554.1228027	267.8757324	510.7380981	251.000885	155.9564819	500.9794312	288.454895	517.9152222	268.524353	195.0597382	506.9365845	464.6441956	269.0486755	214.793808	333.5370483	117.6163101	381.0361023	182.0893707	377.4691772	298.1881409	294.1940308	238.1644287	218.5912323	89.8705368	251.0088959	374.5570068	289.8621521	203.8932037	289.0762024	512.2932129	262.1669006	301.125824	222.2735748	228.7579041	224.0641632	214.4122314	352.5473022	244.4698334	295.7363892	264.6401062	417.7436523	270.4147949	345.4734192	117.468071	482.7112732	367.7692871	336.3952026	466.7433472
P10639	208.5012207	202.3686829	179.5083923	177.1974792	150.6720428	191.2407684	132.1710205	160.6178741	195.4921417	176.6946411	162.6998138	136.71875	181.880188	159.5448608	172.1252136	164.1255188	134.4111328	142.190567	156.3177795	145.0572662	166.8487244	128.4768982	162.1378479	194.970047	111.852478	115.8313217	125.641716	117.0246887	128.74646	147.4507294	115.5746841	152.972702	127.038475	104.3339539	107.6474457	67.638237	157.0733337	122.7598419	161.6766205	133.1151886	159.8007813	169.4082489	178.858429	132.587265	147.796524	148.0947266	122.1112747	132.4929199	134.6287842	103.4554367	142.0678406	105.8848495	130.6630859	90.73053741	143.8022919	95.60191345	119.6742172	121.8423157	137.7579803	112.7860031
